high_grade,low_grade,nces_id,principal,principal_email,school_address,school_city,school_id,school_name,school_phone,school_state,school_zip,state_id
Kindergarten,Kindergarten,,,,,,6360,Antelopenoble,,,,
Kindergarten,Kindergarten,,,,,,6950,Boltrapid,,,,
Kindergarten,Kindergarten,,,,,,6040,Bitetabby,,,,
Kindergarten,Kindergarten,,,,,,6325,Roarerash,,,,
Kindergarten,Kindergarten,,,,,,6600,Stingerspring,,,,
Kindergarten,Kindergarten,,,,,,6450,Singersquare,,,,
Postgraduate,9,,Drifterlie,Chloe.Jones@example.com,769 Judson Common,Skidaway Island,1053,Oriolepuddle,(668) 675-8975 x27674,CO,58335,
6,Prekindergarten,,Maskvine,Kistiñe.Jackson@example.com,6145 Marjolaine Vista,Lucien,4123,Cockatoopool,226.854.7944 x78814,MS,61496,
Kindergarten,Kindergarten,,,,9632 Conn Parkway,Bury,0466,Elfneon,(219) 723-2308 x76408,MN,67091,
Kindergarten,Kindergarten,,,,6255 Evert Unions,Northleach,0362,Bunnyflicker,(714) 700-2261 x1767,IA,38879,
Postgraduate,9,,,,8752 Jay Walk,Skidaway Island,8440,Scribepetal,(207) 000-1694,WI,59817,
Kindergarten,Kindergarten,,,,,,1504,Serpentmaple,,,,
Kindergarten,Kindergarten,,,,,,1501,Lasherwalnut,,,,
Kindergarten,Kindergarten,,,,,,1502,Mareflower,,,,
Kindergarten,Kindergarten,,,,,,1503,Antlerquasar,,,,
8,Prekindergarten,,Gooseregal,Abigail.Martinez@example.com,926 Will Summit,Cienega Springs,4345,Mustangharvest,423.629.0941,AZ,38075,
Postgraduate,9,,Paladinsmall,Ava.Keihanaikukauakahihuliheekahaunaele@example.com,1628 Dennis Parks,Burrton,1140,Chopperwild,195.316.1609 x69497,NM,04995,
Kindergarten,Kindergarten,,,,3915 Jany Rue,,5915,Knightleaf,1-811-194-4219,,,
Kindergarten,Kindergarten,,,,4939 Gerhold Unions,,5930,Griffinfoul,1-497-908-4194 x27679,,,
Kindergarten,Kindergarten,,,,363 Bergnaum Courts,,5925,Roachsatin,710.993.5941 x544,,,
Kindergarten,Kindergarten,,,,8751 Dulce Lights,,5920,Diverdirt,(610) 777-1023 x754,,,
Kindergarten,Kindergarten,,,,688 Hermiston Isle,,5935,Touchspring,1-371-469-3577 x4530,,,
Kindergarten,Kindergarten,,,,740 Trantow Run,,5940,Griffinballistic,1-527-524-8981,,,
12,6,,Facesplit,Elijah.Wilson@example.com,6080 Guiseppe Falls,Berkhamsted,1260,Hissshadow,767-002-3704 x66065,NJ,22454,
Kindergarten,Kindergarten,,,,824 McKenzie Drives,,0200,Swoopcharm,1-266-997-2823,,,
Kindergarten,Kindergarten,,,,312 Weimann Crescent,,0704,Mastercord,841.319.1912 x15003,,,
Kindergarten,Kindergarten,,,,,,6690,Mistressplain,,,,
Kindergarten,Kindergarten,,,,,,6109,Ridgeiris,,,,
Kindergarten,Kindergarten,,,,,,6259,Speardaisy,,,,
Kindergarten,Kindergarten,,,,89380 Mackenzie Prairie,,6279,Deathcrack,,,,
Kindergarten,Kindergarten,,,,,,6289,Stallionstripe,,,,
Kindergarten,Kindergarten,,,,,,6369,Cranelava,,,,
Kindergarten,Kindergarten,,,,,,6569,Boltboulder,,,,
Kindergarten,Kindergarten,,,,,,6609,Gemdew,,,,
Kindergarten,Kindergarten,,,,,,6639,Raverwax,,,,
Kindergarten,Kindergarten,,,,,,6649,Bellystorm,,,,
11,9,,Wyrmwater,James.Harris@example.com,92491 Sauer Lakes,Ransom Canyon,1441,Cowlslow,950-165-8619 x612,MI,44057,
7,6,,Boastellar,Chloe.Jinglehimer schmidt@example.com,99889 Karson Burg,,4211,Skinnercitrine,784.750.6247,,,
Kindergarten,Kindergarten,,,,35763 Murphy Overpass,,0363,Spearchestnut,(155) 077-2261 x7991,,,
Postgraduate,6,,,,,San Martin,0146,Vultureroad,(209) 265-5832 x8504,AR,65274,
Kindergarten,Kindergarten,,,,9655 Earnestine Rapids,,0665,Cranecherry,403-203-6490 x8722,,,
Postgraduate,6,,,,96985 MacGyver Shore,Baldock,0652,Pirateslime,(149) 507-6347 x07041,OK,74761,
Postgraduate,6,,,,2853 Bethel Vista,Kingsbridge,0666,Bisonpyrite,978.638.7282 x4963,CO,93251,
Kindergarten,Kindergarten,,,,21484 Fritsch Coves,Bury,0406,Hoofrift,(269) 183-6477 x689,NJ,67133,
Postgraduate,9,,,,597 Arlene Loop,San Martin,1336,Mistressaquamarine,671-783-7494 x997,CO,27741,
Postgraduate,9,,,,61540 Josue Parks,Hoonah,1337,Hairpetal,906-824-1891 x12389,MA,26909,
Kindergarten,Kindergarten,,,,6918 D'Amore Wells,Lucien,5441,Harebutter,625.073.1471 x893,MN,39595,
Kindergarten,Kindergarten,,,,58476 Hintz Forges,Lucien,5541,Crafterrattle,560.252.2253,SD,32728,
Kindergarten,Kindergarten,,,,7667 Cyrus Court,Campden,5492,Graspstone,(703) 018-1238 x6411,AK,06561,
Kindergarten,Kindergarten,,,,978 Harold Grove,New Deal,5481,Tailcord,698-599-2185,CA,48128,
Kindergarten,Kindergarten,,,,88901 Gaylord Groves,Kingsbridge,5303,Fingerwhite,1-131-764-1232,RI,63736,
Kindergarten,Kindergarten,,,,,Derby Center,NewToBPS,Deerroan,,,,
Postgraduate,Kindergarten,,,,92677 Kunze Spring,Derby Center,0048,Slothgreat,589-510-6136,IA,17886,
Kindergarten,Kindergarten,,,,6784 Runolfsdottir Vista,Berkhamsted,0619,Cowlgiant,745-604-7870,OH,80576,
Postgraduate,Kindergarten,,,,86174 Lesly Mission,San Martin,0630,Bunnybloom,969.398.2922 x460,KY,51968,
Postgraduate,7,,Bisonhelix,Addison.Anderson@example.com,84464 Mylene Island,Baldock,1010,Keeperquartz,1-319-808-7312,NM,01839,
Postgraduate,7,,Centaurfast,John Paul.Smith@example.com,5812 Jodie Junctions,Baldock,1020,Toeequinox,(593) 819-5523,LA,54897,
Postgraduate,7,,Pythonvine,Aubrey.Martinez@example.com,211 Toy Lodge,Cienega Springs,1030,Raptorspectrum,298.360.5472 x21312,NH,08999,
Postgraduate,9,,Healermaple,Natalie.Li@example.com,5548 Konopelski Greens,Lucien,1040,Boneemerald,1-734-830-3251,NC,04917,
Postgraduate,9,,Shiftlightning,Joshua.Garcia@example.com,485 Upton Mews,Campden,1050,Frienddeep,404.888.9377,FL,87088,
Postgraduate,9,,Geckometeor,Mason.Jackson@example.com,2742 Barton Brook,Plympton,1064,Snapcoal,1-935-373-8691,IA,38018,
Postgraduate,9,,Throatwind,Charlotte.Anderson@example.com,4897 O'Conner Summit,Berkhamsted,1070,Pumaoasis,193.180.6898,IL,78821,
Postgraduate,9,,Dutchessnorth,Joshua.Davis@example.com,2922 O'Hara Corner,Brandwell,1080,Warriorclover,(333) 004-4269 x510,UT,44571,
Postgraduate,9,,Cubbrave,Sophia.Anderson@example.com,4980 Schmidt Extensions,Brandwell,1103,Heronivy,407-312-2842 x4031,WI,13647,
Postgraduate,9,,Legendrhinestone,Gwendolyn.Williams@example.com,13708 Yasmine Springs,Derby Center,1120,Foxdent,(965) 816-4603,AK,25876,
Postgraduate,9,,Shirtcrocus,Daniel.Johnson@example.com,7009 Renee Crest,Lucien,1162,Hisserbuttercup,811-847-3677 x81511,WA,37400,
Postgraduate,9,,Fishermica,Emily.Miller@example.com,16051 Danika Lodge,Bury,1171,Foxpineapple,323-430-5096 x34447,NH,99427,
Postgraduate,9,,Grabberfoil,Elizabeth.White@example.com,818 Camden Oval,Buffalo City,1195,Shriekeralder,(303) 840-7640,IA,26763,
Postgraduate,9,,Spurmeteor,Elizabeth.Jinglehimer schmidt@example.com,91279 Cordie Dale,Ransom Canyon,1200,Bugchisel,658-938-3544 x44321,NM,65128,
Postgraduate,9,,Razorhazel,Emily.Smith@example.com,605 Alba Underpass,Newstead,1210,Thumbclever,(138) 019-3411 x3775,NE,66934,
Postgraduate,9,,Mistresshollow,Madison.Keihanaikukauakahihuliheekahaunaele@example.com,28841 Marquardt Walk,Kingsbridge,1215,Browholy,(105) 602-2948 x46870,PA,47044,
Postgraduate,9,,Gargoylesharp,Aiden.Miller@example.com,775 Mueller Islands,Campden,1230,Stingeriron,201-584-9494,NH,66407,
Postgraduate,9,,Fancierlace,Charlotte.Jinglehimer-schmidt@example.com,3024 Grady Glens,Burrton,1253,Kingplaid,(247) 302-5914,NM,93379,
Postgraduate,9,,Vulturechecker,Gwendolyn.Robinson@example.com,38802 Zulauf Island,Lucien,1256,Goatfierce,1-162-166-3464,KY,96878,
Postgraduate,9,,Driftervolcano,Liam.Jinglehimer schmidt@example.com,76596 Durward Ford,Hoonah,1265,Beerampant,(980) 340-6416 x37459,GA,34669,
Kindergarten,Kindergarten,,Dogpepper,Daniel.Keihanaikukauakahihuliheekahaunaele@example.com,43480 Kris Shoal,,1270,Sagecake,743-407-4780,,,
Postgraduate,9,,Swordspring,John-Paul.Jinglehimerschmidt@example.com,3149 Pacocha Lodge,Burrton,1285,Sparrowcandy,1-523-283-7741 x531,GA,92628,
7,Prekindergarten,,Craftermire,A.Jinglehimer schmidt@example.com,35184 West Lakes,Hoonah,1291,Rippertreasure,1-346-434-5814,AK,45824,
9,5,,Ogrestream,John Paul.Li@example.com,2203 Ebert View,San Martin,1292,Binderrhinestone,1-738-794-3701,IL,27296,
Postgraduate,7,,Braideast,John-Paul.Castañeda@example.com,796 Alysson Fields,Brandwell,1293,Knifemarsh,1-647-643-7764,ND,50598,
Postgraduate,5,,Shieldemerald,David.Martinez@example.com,75174 Reilly Row,Skidaway Island,1294,Dutchesslemon,970.436.1801,WY,79475,
Kindergarten,Kindergarten,,Sargentpuddle,Abigail.Garcia@example.com,,,1305,Singersun,,,,
Postgraduate,Kindergarten,,,,528 Dax Mountain,Kingsbridge,1315,Sharkslime,1-737-009-2663 x367,MO,90504,
4,Kindergarten,,Weaverwood,Ethan.Brown@example.com,27472 Eichmann Ford,San Martin,1320,Sentrylightning,(666) 909-5100,MO,40758,
9,6,,Heronorth,A.Martinez@example.com,39794 Ramiro Keys,New Deal,1325,Slayergarnet,985.178.8519 x246,TN,15059,
4,Kindergarten,,Buffalosmall,Avery.Anderson@example.com,27294 Karine Dam,Ransom Canyon,1330,Chillercold,962-976-6756 x500,NM,98564,
4,Kindergarten,,,,,,1335,Tradershy,,,,
Postgraduate,9,,Leadernoon,John Paul.Jinglehimerschmidt@example.com,965 Simeon Plaza,Plympton,1340,Lizardpear,1-618-857-8364 x32268,KS,52649,
4,Kindergarten,,,,251 Adriel Tunnel,Derby Center,1345,Gamblersilent,1-540-849-3180,WV,69374,
Postgraduate,Kindergarten,,,,,,1350,Wingwarp,,,,
9,6,,,,28454 Billie Flats,Plympton,1360,Binderash,454-695-5211 x6991,IN,04566,
3,Kindergarten,,,,5456 Auer Fields,Skidaway Island,1365,Forgervaliant,702.581.1578,IA,87156,
4,Kindergarten,,Fingerpickle,Chloe.Moore@example.com,3309 Gutkowski Garden,Campden,1370,Mastermint,870-255-9473 x5727,TX,06683,
Postgraduate,9,,Orioleband,Lily.Wilson@example.com,41947 Weimann Rapid,Kingsbridge,1410,Yakmaple,1-581-319-1261 x263,AZ,52994,
Postgraduate,9,,Slicersharp,John-Paul.Jinglehimer schmidt@example.com,6951 McGlynn Point,Burrton,1420,Razorcute,1-351-959-0097,IN,44344,
Postgraduate,9,,Killerspiral,Daniel.Martinez@example.com,10744 Ryley Tunnel,New Deal,1430,Foxvine,291.544.1532 x1923,AK,40813,
Postgraduate,11,,Crowngreen,Sadurniño.Jackson@example.com,22128 Watsica Groves,Kingsbridge,1440,Throatthread,1-801-700-4901 x0165,MA,63012,
Postgraduate,6,,Twisterbird,,70937 Robel Fords,Lucien,1450,Mindnebula,(642) 024-8642 x864,WV,06795,
Postgraduate,6,,Monkeytopaz,,33374 Leuschke Wells,Ransom Canyon,1460,Thiefround,656.805.3424,PA,82765,
Postgraduate,6,,Duketree,Andrew.Jinglehimer'schmidt@example.com,61450 Gutmann Plains,Hoonah,1470,Frillspiral,1-274-816-0246 x0110,VA,42056,
Postgraduate,9,,Whimseywhip,Mary Jane.Garcia@example.com,227 Edd Street,Baldock,1990,Gamblersavage,1-365-983-1962 x2164,MN,36830,
Postgraduate,9,,Runnerpaper,Natalie.Thomas@example.com,371 Ari Wall,Hoonah,1991,Cattitanium,602.587.4398,OH,22884,
9,6,,Musesleet,X.Smith@example.com,5415 Okuneva Fall,Ransom Canyon,2010,Jaguarnebula,563-520-3455,NY,93017,
9,6,,Pumatiny,Elijah.Castañeda@example.com,17424 Miller Courts,Berkhamsted,2040,Kinggem,(638) 673-6401,KY,50972,
9,6,,Forgerhickory,Daniel.Jinglehimer-schmidt@example.com,339 Pouros Path,Skidaway Island,2140,Wolfyellow,512.548.5608,FL,53748,
9,6,,Piratebush,Bartholomew.Miller@example.com,496 Bernier Street,Derby Center,2190,Terriermoor,(718) 992-6486 x368,MO,97345,
9,6,,Minnowdew,Emma.Thomas@example.com,659 Maximo Spur,Burrton,2360,Masterlead,1-201-746-0510 x084,SD,07753,
9,4,,Tigerrift,John Paul.Thompson@example.com,5556 Collier Crossing,Lucien,2440,Lightningclever,443.608.6336 x5223,MD,47759,
9,6,,Shriekrelic,Bartholomew.Robinson@example.com,4140 Rosalee Lock,Bury,2450,Stalkercyber,(426) 538-8028 x66966,CA,56436,
9,6,,Crownevening,William.Williams@example.com,7707 Buckridge Street,Berkhamsted,2950,Princefoul,(971) 146-1582 x518,MS,31869,
6,Kindergarten,,Koaladew,Emily.Robinson@example.com,6764 Steuber Mall,Hoonah,4022,Keepervoid,1-679-973-1896,HI,06589,
4,Prekindergarten,,Chillfate,Lily.Jones@example.com,5987 Pollich Causeway,Berkhamsted,4030,Trackerspice,1-227-769-7238,ND,14822,
4,Prekindergarten,,Crystalpeat,James.Jinglehimer-schmidt@example.com,82425 Alisa Inlet,Campden,4031,Necknoble,621-108-0741 x663,MA,43939,
9,3,,Kangarooribbon,William.Moore@example.com,59310 Emmy Trail,Lucien,4033,Lizardjet,(652) 218-8027 x21404,DE,21136,
6,Prekindergarten,,Dutchessquiver,Mason.Miller@example.com,51647 Kulas Mount,Burrton,4052,Griffinfantasy,1-750-445-2264 x668,IA,38072,
9,Prekindergarten,,Banelinen,Alexander.Jackson@example.com,383 Maybell Spurs,Newstead,4053,Mindfierce,724.362.4832 x8750,ND,19099,
9,Prekindergarten,,Dukesplit,Abigail.Smith@example.com,45658 Johnston Lake,Campden,4055,Masterdog,615-283-8039 x905,MA,91919,
6,Prekindergarten,,Thiefwhite,Chloe.Jinglehimer schmidt@example.com,726 Robel Neck,Kingsbridge,4061,Lightningtabby,843.450.7374 x4170,KY,14782,
6,Prekindergarten,,Unicornbead,Addison.Garcia@example.com,140 Schuster Crescent,Hoonah,4062,Elkpickle,1-203-473-6698,HI,07073,
6,Prekindergarten,,Raccoonarrow,Mary Jane.O@example.com,93649 Swift Forges,Berkhamsted,4070,Crowseed,1-461-795-3944,CO,62287,
6,Prekindergarten,,Grabberaquamarine,Avery.Garcia@example.com,9510 Shanahan Ways,Derby Center,4080,Mustangdew,429.029.5830 x082,CT,47610,
6,Prekindergarten,,Snoutdestiny,Mason.Smith@example.com,741 Wuckert Mission,Cienega Springs,4081,Kickerwater,392.371.6400 x531,NM,28606,
5,Prekindergarten,,Stingerrhinestone,Elijah.Davis@example.com,98116 VonRueden Lodge,New Deal,4082,Stormcaramel,836-965-2934 x414,ND,52989,
6,Prekindergarten,,Parrotdenim,Sophia.Brown@example.com,9896 Stark Tunnel,Newstead,4084,Gamblerhelix,121.654.3501 x7581,CA,28145,
6,Prekindergarten,,Leopardcrack,Lily.Smith@example.com,2615 Hauck Squares,Northleach,4100,Samuraigarnet,(292) 560-7995,PA,42638,
6,Prekindergarten,,Traderglaze,Avery.Martinez@example.com,634 Carroll Corner,Burrton,4113,Forgerfancy,154.154.2655 x01969,IL,51089,
6,Prekindergarten,,Ocelotdaisy,Addison.Davis@example.com,209 Mueller Radial,Campden,4121,Puppygreat,489.955.8609 x362,SC,34331,
10,Prekindergarten,,Weedmaze,Abigail.Jinglehimer'schmidt@example.com,71831 Leif Ways,Derby Center,4130,Friendquilt,788.604.2843,LA,26937,
6,Prekindergarten,,Spurballistic,Mary Jane.Robinson@example.com,2546 Chasity Lodge,Derby Center,4140,Collarlace,867-872-4097,UT,52897,
6,Prekindergarten,,Leadersquare,Benjamin.Li@example.com,577 Tromp Roads,Ransom Canyon,4151,Wolfstorm,810.793.6949 x0883,NH,50272,
9,Prekindergarten,,Paladincrimson,Michael.Garcia@example.com,685 Kreiger Via,Derby Center,4160,Venomviolet,412.592.7874 x17165,WI,27356,
9,Kindergarten,,Zebraripple,Charlotte.Jinglehimer'schmidt@example.com,270 Blanda Garden,New Deal,4171,Scowljasper,151.680.0519,IA,62660,
6,Prekindergarten,,Toucharrow,Anthony.Taylor@example.com,5552 Lowe Club,Hoonah,4173,Spurmetal,1-742-726-4209,IA,28429,
9,Prekindergarten,,Heronnoon,Elizabeth.Brown@example.com,418 Ludwig Cove,Northleach,4178,Seergeode,(948) 827-2113 x492,AZ,49461,
6,Kindergarten,,Warriorfoil,Elizabeth.Castañeda@example.com,99211 Cummerata Center,Lucien,4190,Whalesilver,573.971.0033 x940,UT,07171,
9,2,,Carvergold,Daniel.Martin@example.com,14338 Gustave Way,Ransom Canyon,4192,Collardisco,367-144-6111 x9959,NC,60528,
2,Prekindergarten,,Scarerspangle,John Paul.Martinez@example.com,55690 Jalen Canyon,Northleach,4193,Griffinsprinkle,915.116.6565 x6718,VA,01017,
6,Prekindergarten,,Loonquark,Mary-Jane.Martin@example.com,196 Morar Plaza,Berkhamsted,4200,Swallowbuttercup,1-494-425-6329 x7975,MO,11971,
6,Prekindergarten,,Ocelotfrill,Jayden.Jinglehimer schmidt@example.com,9882 Margret Junctions,Newstead,4201,Grinfast,1-394-809-3643 x89579,IN,86563,
9,Prekindergarten,,Followerjuniper,Aiden.Jinglehimer schmidt@example.com,82631 Jacques Greens,Campden,4210,Dropmarsh,(811) 260-0195,AK,11496,
8,Kindergarten,,Ratmountain,Jacob.Jinglehimer schmidt@example.com,170 Selmer Garden,Berkhamsted,4230,Llamapink,1-865-913-5004 x2386,IN,87336,
2,Prekindergarten,,Thiefmotley,A.Robinson@example.com,270 Goldner Spring,Cienega Springs,4231,Tailcotton,(208) 157-0980 x8241,MA,30241,
6,Prekindergarten,,Raywalnut,Noah.Keihanaikukauakahihuliheekahaunaele@example.com,86142 Jones Corners,Buffalo City,4240,Kittenprong,994-784-6448,VT,34301,
3,Prekindergarten,,Jaymeteor,Andrew.Moore@example.com,900 Hailie Shoal,,4241,Songseed,266-074-9455,,,
9,Prekindergarten,,Trackpolar,Natalie.Johnson@example.com,32631 Prohaska Track,Hoonah,4242,Hornetcrystal,(514) 505-5446,CO,11593,
6,Prekindergarten,,Spiderchrome,Benjamin.Jinglehimer'schmidt@example.com,10069 Rigoberto Inlet,Cienega Springs,4250,Pumasand,155-291-1396 x199,GA,69344,
9,Prekindergarten,,Ferrethurricane,Avery.Castañeda@example.com,832 Roberta Ramp,Ransom Canyon,4260,Lightersequoia,262.017.7009 x783,SD,77234,
Postgraduate,5,,Napetwilight,John Paul.Brown@example.com,22042 Mueller Bridge,Hoonah,4261,Riderhickory,1-281-077-8364 x48441,ID,72545,
6,Prekindergarten,,Sightlapis,Avery.Thompson@example.com,95774 Ritchie Points,New Deal,4270,Banerainbow,509-239-4988 x6107,VA,26858,
9,Prekindergarten,,Eyefoil,Ava.Anderson@example.com,53457 Blick Glens,Hoonah,4272,Chinviridian,634.898.0767 x949,RI,03434,
6,Prekindergarten,,Foevine,Zoeey.Brown@example.com,458 Cassin Isle,Plympton,4280,Neckchecker,886-609-3891,NV,49806,
9,Prekindergarten,,Ferretbold,Elijah.Jinglehimer schmidt@example.com,847 Marks Neck,Derby Center,4283,Kingshell,1-749-903-3777 x672,NY,82635,
9,Prekindergarten,,Leopardwind,David.Martin@example.com,4762 Obie Roads,Berkhamsted,4285,Lighterpolar,272.298.3346,VA,17036,
9,Prekindergarten,,Huggergossamer,Sophia.Brown@example.com,5250 Langworth Union,Derby Center,4290,Scarthorn,(837) 986-8682 x097,ME,73783,
2,Prekindergarten,,Crowstone,Charlotte.Thomas@example.com,893 Kaelyn Burgs,New Deal,4291,Fighterindigo,889.715.5412 x3256,UT,99406,
6,Prekindergarten,,Raversand,Ava.Taylor@example.com,87586 Bryana Burgs,Skidaway Island,4311,Knavechestnut,959-464-5732 x005,NM,39025,
6,Prekindergarten,,Knavegem,Joseph.Davis@example.com,43239 Ellis Heights,Northleach,4321,Edgeprairie,261.157.6749 x68288,ME,89023,
6,Prekindergarten,,Cranerowan,John-Paul.Martin@example.com,9238 Rau Club,Bury,4322,Scourgefern,(396) 709-2010 x1294,VA,61878,
9,Kindergarten,,Paladinweed,Sofia.Li@example.com,7453 Trent Passage,San Martin,4323,Lionholy,1-648-299-2511 x705,FL,41468,
9,Prekindergarten,,Antlerplume,,7070 Angelica Cove,Brandwell,4331,Jaguarsurf,804.966.3223 x6695,KY,20978,
6,Prekindergarten,,Piratejelly,Michael.White@example.com,80258 Lang Course,Ransom Canyon,4350,Touchbranch,858-017-5310 x6831,SC,07396,
9,Kindergarten,,Headdour,William.Brown@example.com,91089 Jacinthe Rest,New Deal,4360,Elfslash,994.343.7044,TN,48788,
6,Prekindergarten,,Lordflannel,Charlotte.Moore@example.com,918 Loren Keys,Burrton,4361,Condorstream,546.867.6599 x2604,MA,73894,
6,Prekindergarten,,Pegasusdew,Aubrey.Jinglehimer schmidt@example.com,655 Brannon Crescent,Lucien,4370,Crowolive,1-925-151-8992 x32619,MA,91024,
9,Prekindergarten,,Minnowsteel,Ava.Wilson@example.com,752 Tremblay Ferry,Skidaway Island,4381,Deathglen,712.338.6036 x00480,VA,90934,
6,Prekindergarten,,Beakbrindle,Avery.Jinglehimerschmidt@example.com,7581 Arlo Meadows,Berkhamsted,4390,Fightertree,1-897-923-7374,SC,99109,
4,Prekindergarten,,Ravennight,Jayden.Jinglehimer-schmidt@example.com,959 Maggio Rapid,Baldock,4391,Bunnybubble,1-616-920-1368 x94436,LA,48320,
9,Prekindergarten,,Bugperidot,Anthony.Jinglehimerschmidt@example.com,39841 Macejkovic Shore,Skidaway Island,4400,Mythplaid,797-478-5053 x424,CT,31847,
3,Kindergarten,,Healersugar,Emma.Johnson@example.com,721 Gino Drive,Brandwell,4401,Lightningmangrove,1-990-395-0737,MN,38252,
9,3,,Warlockpaper,Ava.Garcia@example.com,965 Rempel Trail,Brandwell,4410,Stonebuttercup,(756) 834-8061 x87142,IN,37221,
Kindergarten,Kindergarten,,Hornetjelly,Bartholomew.Martin@example.com,813 Larue Isle,Newstead,4430,Buffalomercury,(648) 851-7781 x26429,VT,92741,
4,Prekindergarten,,Jackalvoid,Natalie.Harris@example.com,21994 Marvin Mountains,Ransom Canyon,4440,Kickerpsychadelic,(213) 429-5479 x3640,CO,20219,
2,Prekindergarten,,Owlobsidian,Emma.Smith@example.com,95246 Kaylie Key,Hoonah,4450,Ridgelake,691-917-7937 x524,NE,71467,
2,Prekindergarten,,Sagefree,Kistiñe.Jinglehimer schmidt@example.com,841 Natalia Wells,San Martin,4460,Hornetaquamarine,395-881-7762 x11005,MT,59558,
6,Prekindergarten,,Stalkerglen,Elijah.Jinglehimer-schmidt@example.com,3552 Rempel Expressway,San Martin,4530,Fishersand,327-763-4736 x02485,MS,51692,
6,Prekindergarten,,Terrierkeen,Joseph.Thompson@example.com,5236 Aileen Turnpike,Bury,4531,Saverseed,323-894-9733 x3640,ND,22512,
6,Prekindergarten,,Loonlunar,Alexander.Jinglehimer-schmidt@example.com,42514 Gerhold Harbor,Hoonah,4541,Binderswamp,1-834-112-0060 x85894,ME,44554,
6,Prekindergarten,,Weavershag,Elizabeth.Thomas@example.com,712 Hoppe Circles,Berkhamsted,4543,Bootshy,1-581-794-0384 x08262,CA,04013,
6,Prekindergarten,,Throatshade,Sophia.Thompson@example.com,6138 Lauretta Vista,New Deal,4560,Batcold,619-666-1422 x67959,DE,66300,
6,Prekindergarten,,Spiritmarsh,Abigail.Garcia@example.com,1709 Ethel Stream,Campden,4561,Scorpionmulberry,855.211.8590,MO,51726,
9,Prekindergarten,,Ogrepolar,Elijah.Garcia@example.com,43771 Linnie Estate,Skidaway Island,4570,Wingbuttercup,1-669-716-1911,SC,53700,
